Year,Spring,Summer,Autumn,Winter
1957,3-17,5-23,9-24,11-29
1958,3-10,5-22,9-17,11-15
1959,3-4,6-4,9-24,11-25
1960,2-29,6-3,10-2,11-25
1961,2-28,6-5,10-1,12-3
1962,3-11,5-21,9-29,11-21
1963,3-1,5-6,10-1,11-26
1964,3-10,5-27,9-27,12-1
1965,3-10,5-16,9-28,11-25
1966,2-28,5-27,9-12,11-30
1967,3-11,5-16,9-30,11-29
1968,3-12,5-15,9-29,12-14
1969,3-15,5-2,9-30,11-16
1970,3-27,5-26,9-26,11-26
1971,3-16,5-22,9-27,11-29
1972,3-14,6-7,9-23,11-21
1973,3-16,6-7,9-16,11-29
1974,3-3,5-12,9-15,12-3
1975,3-17,5-27,10-4,11-23
1976,3-6,5-7,9-20,11-11
1977,2-24,5-21,9-20,11-27
1978,3-25,5-15,9-19,11-27
1979,3-6,5-21,9-24,11-14
1980,3-27,5-23,9-18,12-9
1981,3-8,6-6,9-29,11-27
1982,3-11,5-8,9-12,12-5
1983,3-16,5-19,10-6,11-25
1984,3-12,5-24,10-3,11-26
1985,3-23,4-29,9-23,12-7
1986,3-5,5-7,9-13,11-25
1987,3-3,5-19,9-25,11-28
1988,3-10,5-16,9-21,11-24
1989,3-10,5-7,9-28,11-18
1990,3-7,5-7,9-15,12-1
1991,3-5,5-14,9-23,12-9
1992,2-26,5-21,9-26,11-20
1993,3-3,5-11,9-28,11-21
1994,3-5,4-29,9-12,12-12
1995,3-2,5-23,9-15,11-20
1996,3-3,5-17,10-7,11-28
1997,2-24,4-29,9-17,11-30
1998,2-9,4-16,9-27,12-3
1999,2-24,5-12,10-3,11-26
2000,3-15,5-8,10-12,12-11
2001,2-18,5-12,10-1,12-6
2002,2-13,5-25,9-21,12-7
2003,2-18,5-4,10-13,11-28
2004,2-11,5-10,10-1,12-21
2005,3-15,4-26,10-3,12-3
2006,3-4,5-20,10-23,11-29
2007,2-4,5-2,10-8,12-13
2008,2-29,4-27,10-5,12-5
2009,3-9,5-6,10-7,11-13
2010,2-21,5-1,9-23,12-14
2011,2-22,5-7,9-19,12-8
2012,3-13,4-23,9-29,12-1
2013,2-24,5-9,10-3,11-28
2014,2-25,5-8,10-4,12-2
2015,2-12,4-28,10-5,12-4
2016,2-9,5-1,10-7,11-23
2017,2-14,,,
